Scheme Name,Net Asset Value 
Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,111.8439 
Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - MONTHLY IDCW,114.7073 
Aditya Birla Sun Life Banking & PSU Debt Fund  - Direct - Quarterly IDCW,112.7784 
Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - IDCW,158.27 
Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - MONTHLY IDCW,111.4162 
Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - Quarterly IDCW,109.6535 
Aditya Birla Sun Life Banking & PSU Debt Fund  - retail - monthly IDCW,111.275 
Aditya Birla Sun Life Banking & PSU Debt Fund  - retail - quarterly IDCW,112.4423 
Aditya Birla Sun Life Banking & PSU Debt Fund - Regular Plan-Growth,313.272 
Aditya Birla Sun Life Banking & PSU Debt Fund - Retail Plan-Growth,470.2616 
Aditya Birla Sun Life Banking & PSU Debt Fund- Direct Plan-Growth,322.7905 
Axis Banking & PSU Debt Fund - Direct Plan - Bonus Option,1532.8272 
Axis Banking & PSU Debt Fund - Direct Plan - Daily IDCW,1039.1310 
Axis Banking & PSU Debt Fund - Direct Plan - Growth Option,2318.6016 
Axis Banking & PSU Debt Fund - Direct Plan - Monthly IDCW,1036.7963 
Axis Banking & PSU Debt Fund - Direct Plan - Weekly IDCW,1038.5162 
Axis Banking & PSU Debt Fund - Regular Plan - Bonus Option,1289.4075 
Axis Banking & PSU Debt Fund - Regular Plan - Daily IDCW,1039.1303 
Axis Banking & PSU Debt Fund - Regular Plan - Growth option,2262.0738 
Axis Banking & PSU Debt Fund - Regular Plan - Monthly IDCW,1036.6151 
Axis Banking & PSU Debt Fund - Regular Plan - Weekly IDCW,1038.5057 
BANDHAN Banking & PSU Debt Fund - Direct Annual IDCW,12.0758 
BANDHAN Banking & PSU Debt Fund - Direct Daily IDCW,10.4768 
BANDHAN Banking & PSU Debt Fund - Direct Fortnightly IDCW,10.4698 
BANDHAN Banking & PSU Debt Fund - Direct Growth,21.6425 
BANDHAN Banking & PSU Debt Fund - Direct IDCW,11.3851 
BANDHAN Banking & PSU Debt Fund - Direct Monthly IDCW,10.4620 
BANDHAN Banking & PSU Debt Fund - Direct Quarterly IDCW,10.8453 
BANDHAN Banking & PSU Debt Fund - Regular Annual IDCW,11.1317 
BANDHAN Banking & PSU Debt Fund - Regular Daily IDCW,10.8788 
BANDHAN Banking & PSU Debt Fund - Regular Fortnightly IDCW,10.6253 
BANDHAN Banking & PSU Debt Fund - Regular Growth,21.1646 
BANDHAN Banking & PSU Debt Fund - Regular IDCW,11.4288 
BANDHAN Banking & PSU Debt Fund - Regular Monthly IDCW,10.7052 
BANDHAN Banking & PSU Debt Fund - Regular Quarterly IDCW,10.7531 
Baroda BNP Paribas Banking and PSU Bond Fund -Direct Plan-Monthly IDCW Option,10.2181 
Baroda BNP Paribas Banking and PSU Bond Fund- Direct Plan -Growth Option,10.9669 
Baroda BNP Paribas Banking and PSU Bond Fund-Direct plan-Quarterly IDCW Option,10.3457 
Baroda BNP Paribas Banking and PSU Bond Fund-Regular Plan -Growth Option,10.8583 
Baroda BNP Paribas Banking and PSU Bond Fund-Regular Plan -Monthly IDCW Option,10.1851 
Baroda BNP Paribas Banking and PSU Bond Fund-Regular Plan-Quarterly IDCW Option,10.2440 
Canara Robeco Banking and PSU Debt Fund- Direct Plan- Growth Option,10.4543 
Canara Robeco Banking and PSU Debt Fund- Direct Plan- IDCW Payout,10.4541 
Canara Robeco Banking and PSU Debt Fund- Regular Plan- Growth Option,10.4328 
Canara Robeco Banking and PSU Debt Fund- Regular Plan- IDCW (Payout/ Reinvestment),10.4329 
DSP Banking & PSU Debt Fund - Direct Plan - Growth,21.1309 
DSP Banking & PSU Debt Fund - Direct Plan - IDCW,10.3479 
